test_case,observable,method,noise_level,derivative_order,rmse,eval_time,fit_time,success,implementation,mae,max_error,category
brusselator,X(t),Chebyshev_Python,0.001,0,0.4120547033110636,0.0008771419525146,0.0004000663757324,True,Python,,,
brusselator,X(t),Chebyshev_Python,0.001,1,1.6808523311632886,0.0008771419525146,0.0004000663757324,True,Python,,,
brusselator,X(t),Chebyshev_Python,0.001,2,10.22236480512157,0.0008771419525146,0.0004000663757324,True,Python,,,
brusselator,X(t),Chebyshev_Python,0.001,3,107.86868558618558,0.0008771419525146,0.0004000663757324,True,Python,,,
brusselator,X(t),Polynomial_Python,0.001,0,0.6134235147792463,0.2582852840423584,0.0036673545837402,True,Python,,,
brusselator,X(t),Polynomial_Python,0.001,1,1.5180916765673662,0.2582852840423584,0.0036673545837402,True,Python,,,
brusselator,X(t),Polynomial_Python,0.001,2,,0.2582852840423584,0.0036673545837402,True,Python,,,
brusselator,X(t),Polynomial_Python,0.001,3,,0.2582852840423584,0.0036673545837402,True,Python,,,
brusselator,X(t),SavitzkyGolay_Python,0.001,0,0.3588525469241236,0.0009751319885253,0.0008411407470703,True,Python,,,
brusselator,X(t),SavitzkyGolay_Python,0.001,1,1.3587974917350685,0.0009751319885253,0.0008411407470703,True,Python,,,
brusselator,X(t),SavitzkyGolay_Python,0.001,2,7.194884511279322,0.0009751319885253,0.0008411407470703,True,Python,,,
brusselator,X(t),SavitzkyGolay_Python,0.001,3,102.23361395020382,0.0009751319885253,0.0008411407470703,True,Python,,,
brusselator,X(t),Butterworth_Python,0.001,0,0.7279474537612634,0.0008010864257812,0.0006968975067138,True,Python,,,
brusselator,X(t),Butterworth_Python,0.001,1,1.5289315390633451,0.0008010864257812,0.0006968975067138,True,Python,,,
brusselator,X(t),Butterworth_Python,0.001,2,7.169509679485135,0.0008010864257812,0.0006968975067138,True,Python,,,
brusselator,X(t),Butterworth_Python,0.001,3,102.12559095648167,0.0008010864257812,0.0006968975067138,True,Python,,,
brusselator,X(t),RandomForest_Python,0.001,0,0.0790197247404871,0.1153721809387207,0.1096024513244628,True,Python,,,
brusselator,X(t),RandomForest_Python,0.001,1,,0.1153721809387207,0.1096024513244628,True,Python,,,
brusselator,X(t),RandomForest_Python,0.001,2,,0.1153721809387207,0.1096024513244628,True,Python,,,
brusselator,X(t),RandomForest_Python,0.001,3,,0.1153721809387207,0.1096024513244628,True,Python,,,
brusselator,X(t),SVR_Python,0.001,0,0.7759625914821512,0.3889191150665283,0.0033433437347412,True,Python,,,
brusselator,X(t),SVR_Python,0.001,1,1.5275864534976724,0.3889191150665283,0.0033433437347412,True,Python,,,
brusselator,X(t),SVR_Python,0.001,2,7.169758671482133,0.3889191150665283,0.0033433437347412,True,Python,,,
brusselator,X(t),SVR_Python,0.001,3,102.12512689482186,0.3889191150665283,0.0033433437347412,True,Python,,,
brusselator,X(t),Fourier_Python,0.001,0,0.1857605660073915,0.0012474060058593,0.0005273818969726,True,Python,,,
brusselator,X(t),Fourier_Python,0.001,1,1.0794788878348565,0.0012474060058593,0.0005273818969726,True,Python,,,
brusselator,X(t),Fourier_Python,0.001,2,6.879046349564126,0.0012474060058593,0.0005273818969726,True,Python,,,
brusselator,X(t),Fourier_Python,0.001,3,101.8185130418356,0.0012474060058593,0.0005273818969726,True,Python,,,
brusselator,X(t),FiniteDiff_Python,0.001,0,0.0008411090729077,0.0004289150238037,0.0002954006195068,True,Python,,,
brusselator,X(t),FiniteDiff_Python,0.001,1,0.2985518239670005,0.0004289150238037,0.0002954006195068,True,Python,,,
brusselator,X(t),FiniteDiff_Python,0.001,2,2.996367566372873,0.0004289150238037,0.0002954006195068,True,Python,,,
brusselator,X(t),FiniteDiff_Python,0.001,3,66.97463909972718,0.0004289150238037,0.0002954006195068,True,Python,,,
brusselator,X(t),AAA_LS_Python,0.001,0,0.0022614167031296,44.35179376602173,34.01225137710571,True,Python,,,
brusselator,X(t),AAA_LS_Python,0.001,1,1.092762364769055,44.35179376602173,34.01225137710571,True,Python,,,
brusselator,X(t),AAA_LS_Python,0.001,2,7.087780769120375,44.35179376602173,34.01225137710571,True,Python,,,
brusselator,X(t),AAA_LS_Python,0.001,3,82.30079429210286,44.35179376602173,34.01225137710571,True,Python,,,
brusselator,X(t),AAA_FullOpt_Python,0.001,0,0.0026460071144816,26.19942021369934,17.007567882537842,True,Python,,,
brusselator,X(t),AAA_FullOpt_Python,0.001,1,1.0609202933721658,26.19942021369934,17.007567882537842,True,Python,,,
brusselator,X(t),AAA_FullOpt_Python,0.001,2,6.960839314333295,26.19942021369934,17.007567882537842,True,Python,,,
brusselator,X(t),AAA_FullOpt_Python,0.001,3,293813585.6919943,26.19942021369934,17.007567882537842,True,Python,,,
brusselator,X(t),GP_RBF_Iso_Python,0.001,0,0.0322841021806461,1.1871671676635742,0.4157135486602783,True,Python,,,
brusselator,X(t),GP_RBF_Iso_Python,0.001,1,0.4672386850996989,1.1871671676635742,0.4157135486602783,True,Python,,,
brusselator,X(t),GP_RBF_Iso_Python,0.001,2,4.428892601286314,1.1871671676635742,0.4157135486602783,True,Python,,,
brusselator,X(t),GP_RBF_Iso_Python,0.001,3,90.47524732051696,1.1871671676635742,0.4157135486602783,True,Python,,,
brusselator,X(t),GP_Matern_1.5_Python,0.001,0,0.0008411109042322,1.1942801475524902,0.3996748924255371,True,Python,,,
brusselator,X(t),GP_Matern_1.5_Python,0.001,1,0.3071812366414047,1.1942801475524902,0.3996748924255371,True,Python,,,
brusselator,X(t),GP_Matern_1.5_Python,0.001,2,3.283756790642918,1.1942801475524902,0.3996748924255371,True,Python,,,
brusselator,X(t),GP_Matern_1.5_Python,0.001,3,68.24704766807787,1.1942801475524902,0.3996748924255371,True,Python,,,
brusselator,X(t),GP_Matern_2.5_Python,0.001,0,0.0008411136397482,1.3816962242126465,0.49285888671875,True,Python,,,
brusselator,X(t),GP_Matern_2.5_Python,0.001,1,0.2796412183395771,1.3816962242126465,0.49285888671875,True,Python,,,
brusselator,X(t),GP_Matern_2.5_Python,0.001,2,2.131852934634428,1.3816962242126465,0.49285888671875,True,Python,,,
brusselator,X(t),GP_Matern_2.5_Python,0.001,3,76.0309953333741,1.3816962242126465,0.49285888671875,True,Python,,,
brusselator,X(t),GP_Periodic_Python,0.001,0,0.8167521518355816,1.6930420398712158,0.5878057479858398,True,Python,,,
brusselator,X(t),GP_Periodic_Python,0.001,1,1.5525492444210591,1.6930420398712158,0.5878057479858398,True,Python,,,
brusselator,X(t),GP_Periodic_Python,0.001,2,7.171108617670255,1.6930420398712158,0.5878057479858398,True,Python,,,
brusselator,X(t),GP_Periodic_Python,0.001,3,102.126000405265,1.6930420398712158,0.5878057479858398,True,Python,,,
brusselator,Y(t),CubicSpline_Python,0.001,0,0.0033258493415059,0.0012879371643066,0.0011236667633056,True,Python,,,
brusselator,Y(t),CubicSpline_Python,0.001,1,0.2879140274158906,0.0012879371643066,0.0011236667633056,True,Python,,,
brusselator,Y(t),CubicSpline_Python,0.001,2,2.968064573083196,0.0012879371643066,0.0011236667633056,True,Python,,,
brusselator,Y(t),CubicSpline_Python,0.001,3,63.128308650344415,0.0012879371643066,0.0011236667633056,True,Python,,,
brusselator,Y(t),SmoothingSpline_Python,0.001,0,0.0316517321195701,0.0006353855133056,0.0003223419189453,True,Python,,,
brusselator,Y(t),SmoothingSpline_Python,0.001,1,0.4114876424997295,0.0006353855133056,0.0003223419189453,True,Python,,,
brusselator,Y(t),SmoothingSpline_Python,0.001,2,2.004043641665474,0.0006353855133056,0.0003223419189453,True,Python,,,
brusselator,Y(t),SmoothingSpline_Python,0.001,3,68.8844136154591,0.0006353855133056,0.0003223419189453,True,Python,,,
